home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
54,147,30,7,0
70,186,18,38,0
76,2,100,99,0
93,196,57,5,0
155,122,6,113,0
112,129,58,59,0
170,67,17,136,0
203,22,79,149,0
121,80,61,24,0
115,65,76,116,0
115,121,76,61,0
58,166,161,127,0
67,178,137,134,0
118,129,102,56,1
155,78,4,26,0
52,166,175,127,1
104,60,35,62,0
9,162,8,69,0
165,115,16,76,0
184,152,63,78,0
193,201,94,70,0
6,129,82,56,0
28,196,1,6,1
36,117,44,136,0
60,226,62,29,1
118,133,102,105,0
28,104,1,35,1
19,147,113,7,0
31,77,12,5,0
55,53,14,66,0
121,187,61,84,0
122,54,112,22,0
155,130,4,89,0
169,101,11,46,0
191,10,3,133,0
161,25,103,58,0
69,80,38,24,0
94,93,42,53,0
212,51,74,51,0
60,226,62,29,1
9,161,10,100,0
44,153,23,18,1
12,78,58,27,0
12,78,58,27,0
77,102,5,2,1
161,150,100,108,1
136,153,7,18,1
143,227,75,41,0
216,150,36,108,0
9,12,10,58,0
161,60,100,76,0
162,25,73,62,0
94,67,49,121,0
216,219,36,124,0
28,60,1,76,1
9,25,10,62,1
136,219,7,124,1
216,161,36,100,0
28,162,1,73,1
44,60,23,76,1
9,42,10,42,1
161,219,100,124,1
28,44,1,23,1
133,203,107,82,0
201,66,71,97,0
206,181,24,43,0
211,193,69,88,0
226,134,32,140,0
129,27,50,138,0
143,6,75,74,0
216,25,36,62,0
28,9,1,10,1
216,44,36,23,0
3,206,57,24,0
216,28,36,1,0
3,201,56,72,0
6,27,79,146,0
36,227,41,44,0
61,211,23,70,0
87,129,58,46,0
181,118,48,87,0
193,66,91,100,0
37,103,74,95,0
104,49,36,71,0
115,13,69,42,0
130,2,90,94,0
103,226,95,24,0
68,218,137,177,1
68,218,137,177,1
51,65,56,123,0
54,155,27,2,0
70,14,18,149,0
77,76,4,86,0
102,187,6,81,0
115,120,65,153,0
122,130,111,95,0
147,19,17,103,0
186,101,40,43,0
191,53,3,75,0
207,93,31,61,0
101,216,48,36,0
191,9,6,9,0
103,49,86,56,0
190,143,67,106,0
31,2,14,102,0
77,138,4,135,0
28,216,1,36,0
42,37,43,57,0
76,31,100,14,0
101,14,48,151,0
121,65,58,116,0
136,180,16,29,1
170,80,17,32,0
186,164,42,33,0
187,212,69,79,0
197,93,11,54,0
103,91,81,71,0
