home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
184,34,53,151,0
169,191,16,6,1
51,165,27,18,1
207,55,30,11,1
146,192,146,144,1
18,103,112,47,0
161,10,62,124,0
70,54,5,10,1
128,185,167,98,1
54,77,10,2,1
128,202,168,61,1
115,121,77,65,1
107,198,157,142,0
159,219,121,125,0
106,98,152,139,0
196,55,7,10,0
19,213,92,67,1
62,91,76,49,0
67,186,137,38,0
156,193,83,95,0
115,196,69,9,0
187,55,57,10,0
35,220,182,110,1
114,96,156,131,1
163,202,170,50,1
67,191,137,7,0
164,77,55,2,0
116,156,92,83,0
185,202,89,50,0
96,220,131,110,1
169,213,18,70,0
62,219,76,118,0
87,73,86,46,0
159,52,106,51,0
156,143,82,83,0
180,226,42,16,0
198,193,130,85,0
163,192,165,137,1
156,150,82,136,0
156,150,82,136,0
116,16,96,132,0
138,102,119,6,0
22,129,151,81,0
66,181,100,64,0
69,197,71,35,0
134,126,146,89,0
193,227,85,67,0
122,31,124,21,0
2,165,111,14,0
10,77,114,2,0
60,44,31,11,0
94,169,54,15,0
178,20,162,37,0
196,13,8,46,0
219,9,118,22,0
156,180,82,42,0
213,167,63,84,1
156,112,82,80,0
156,167,82,84,0
112,213,80,63,1
136,60,15,32,1
16,167,124,62,1
167,112,62,86,1
96,138,113,118,1
91,44,42,8,1
203,73,81,49,0
202,31,54,21,0
14,93,123,78,0
118,206,91,24,1
122,170,122,7,0
197,155,39,18,0
203,36,81,47,0
180,129,40,69,0
62,136,68,11,1
201,211,86,96,1
96,98,117,129,1
142,51,27,24,0
217,198,119,120,1
20,147,42,10,0
53,31,74,17,0
62,37,68,50,0
108,226,106,18,0
219,44,110,7,0
130,191,122,8,0
213,180,60,37,0
32,87,107,73,0
219,161,111,38,0
143,227,85,71,0
150,155,132,14,1
165,70,13,3,0
126,226,88,20,0
118,203,94,87,1
25,186,39,30,0
44,9,4,22,0
104,196,21,17,1
53,164,78,53,0
204,188,164,171,0
202,196,57,17,0
68,188,157,171,0
115,164,82,53,1
27,117,161,162,0
185,69,92,79,1
101,77,52,2,0
220,227,99,71,1
14,65,125,104,1
27,126,161,88,0
117,226,162,20,0
53,80,77,40,0
101,196,52,16,0
13,187,34,89,0
130,93,122,76,0
17,180,137,36,1
156,104,92,19,0
123,104,175,19,1
146,104,152,19,1
2,212,118,67,1
213,155,64,17,0
21,159,182,103,0
17,127,137,97,1
122,101,124,52,0
130,186,122,24,0
2,77,118,2,1
14,69,125,78,0
93,12,76,33,0
121,169,49,15,0
73,142,55,28,0
89,18,153,111,1
95,98,121,98,0
144,206,101,26,0
95,98,121,85,0
16,213,111,68,0
35,225,186,151,0
91,49,50,57,1
144,61,92,36,0
184,142,91,38,0
185,112,101,66,0
32,153,103,71,0
44,162,8,45,0
80,51,29,28,0
120,121,157,54,0
130,67,123,139,0
178,147,164,10,0
207,20,31,39,0
11,103,172,37,0
225,217,151,112,0
65,115,101,80,0
157,98,176,75,0
185,116,99,94,0
208,200,148,152,0
62,60,71,40,0
206,3,24,59,0
220,200,108,152,0
190,147,25,7,0
98,107,75,161,0
68,150,155,133,0
62,136,71,12,0
65,196,101,20,0
115,13,80,46,0
118,144,92,96,0
220,208,108,148,0
128,198,179,115,1
42,161,27,22,1
157,107,176,161,0
161,60,22,40,1
42,60,27,40,1
160,68,162,157,0
60,136,38,12,1
116,112,87,55,0
146,156,150,98,1
123,156,172,98,1
150,12,118,33,0
25,28,34,1,0
35,217,182,91,0
161,9,24,16,0
65,115,99,74,1
66,142,117,14,0
134,143,148,82,0
94,155,87,16,0
19,101,103,50,0
65,67,100,126,0
36,153,46,58,1
104,28,17,1,0
32,108,104,102,0
78,184,42,86,0
227,36,62,46,0
19,196,103,25,0
65,13,101,44,0
69,155,65,15,0
120,94,162,88,0
