home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
165,77,15,2,0
9,42,19,26,0
25,161,41,39,0
32,73,107,46,1
227,201,71,89,0
22,73,143,46,0
22,78,143,25,0
22,32,143,107,0
73,78,46,25,1
206,3,23,49,0
144,118,103,94,0
226,190,20,19,0
36,6,56,70,0
78,142,25,27,0
108,153,112,63,0
116,3,97,49,0
216,9,43,22,0
22,203,143,87,0
101,80,52,35,0
136,162,11,54,1
227,78,71,25,0
49,186,72,30,0
106,116,146,97,0
116,106,97,146,0
202,104,57,21,0
202,196,57,17,0
25,42,39,26,0
103,219,32,111,0
207,69,31,79,0
121,164,48,53,1
181,129,58,67,0
80,165,35,13,0
96,227,119,71,1
22,3,143,49,0
66,61,108,28,0
127,185,96,92,0
134,226,150,20,0
201,118,89,94,0
62,85,74,106,0
49,136,66,11,0
127,180,97,36,0
146,123,152,175,1
159,21,103,182,0
85,60,106,35,0
51,55,25,4,0
53,170,77,8,0
18,82,111,127,1
51,187,25,89,0
162,60,45,35,0
164,102,56,10,0
184,78,86,38,0
37,62,48,74,0
95,78,121,38,0
106,213,144,64,1
126,143,86,79,0
62,85,77,102,1
96,225,115,151,0
116,185,93,101,0
85,49,102,57,0
35,96,186,115,0
37,103,55,37,0
85,49,102,57,0
91,62,50,77,1
227,6,49,74,0
155,69,18,69,0
198,119,113,184,0
212,10,48,110,0
196,164,20,57,0
201,144,98,96,0
96,217,109,104,0
70,28,4,1,0
203,32,77,106,0
181,3,68,59,0
212,77,51,2,0
6,36,66,41,0
60,42,40,27,0
61,206,33,24,0
93,155,74,15,0
102,28,6,1,1
216,44,54,11,0
219,25,113,32,0
9,60,21,40,1
70,102,4,6,0
94,121,76,49,0
51,207,28,42,1
225,96,142,109,0
9,161,21,22,1
136,49,12,53,1
36,73,45,64,0
143,226,82,18,0
104,156,17,98,0
103,82,37,119,1
201,226,100,18,0
126,27,84,161,0
219,60,111,38,0
143,144,72,80,0
36,108,46,102,0
73,144,61,80,0
36,226,46,19,1
126,201,88,96,0
49,62,54,73,0
203,6,77,59,0
115,14,75,125,0
93,197,72,64,0
144,226,80,19,0
128,17,183,138,1
62,44,73,10,1
77,165,4,30,0
128,95,183,118,1
76,102,99,8,0
213,104,67,18,0
107,217,121,82,0
16,41,113,190,1
119,106,171,123,0
201,226,93,19,0
108,226,99,19,1
107,104,121,18,0
155,44,8,9,0
69,93,61,71,0
80,55,41,5,0
147,207,4,39,0
217,104,82,18,0
9,216,10,47,0
37,136,59,11,0
104,213,20,60,0
170,102,9,16,0
213,217,60,83,0
62,103,70,40,0
136,49,10,56,0
212,51,51,29,0
9,44,13,11,0
103,136,40,10,0
191,169,3,5,0
133,181,135,82,1
87,129,67,88,1
129,184,88,79,1
180,94,34,74,0
190,54,35,4,1
12,28,32,1,1
226,153,20,71,0
143,117,66,150,0
32,129,106,80,0
117,27,149,162,0
78,143,57,67,0
202,61,54,32,0
103,196,39,18,0
85,62,83,64,1
28,103,1,39,1
150,42,120,16,0
28,85,1,83,1
53,69,82,60,0
130,2,133,116,0
187,186,95,34,1
190,6,31,58,1
226,142,21,15,1
2,115,116,75,1
36,87,53,65,1
6,144,58,86,1
80,170,42,22,0
103,153,33,67,0
70,155,6,10,0
11,194,177,149,0
136,161,4,30,0
20,155,31,10,0
35,163,158,175,1
44,161,17,30,1
20,169,32,22,0
42,44,6,13,0
196,70,27,25,0
206,76,26,57,0
6,226,59,19,0
103,180,31,38,1
39,52,166,85,0
94,180,76,38,1
65,14,103,122,0
104,161,11,29,0
190,226,24,23,0
42,216,9,38,0
104,54,12,3,0
69,77,61,2,0
147,36,25,49,0
76,170,52,16,0
144,6,76,56,0
180,136,34,4,1
42,142,9,13,1
94,190,72,24,1
108,183,93,180,0
142,155,13,7,1
36,13,49,31,1
102,42,14,9,1
161,31,29,35,1
147,20,25,36,1
42,13,9,31,1
190,55,24,27,1
191,161,15,29,1
20,136,36,4,1
42,36,9,49,1
5,14,185,123,1
190,180,24,34,1
147,136,25,4,1
169,206,22,21,1
65,121,104,45,0
171,201,172,95,0
126,143,97,69,0
126,143,97,69,0
211,108,118,92,0
143,6,75,57,0
126,227,100,71,0
27,143,158,75,0
117,134,136,157,0
226,144,24,81,0
22,152,135,155,0
121,138,55,133,0
171,211,172,118,0
13,70,24,2,0
155,169,11,13,0
186,69,33,63,0
32,203,62,79,0
127,114,99,137,1
220,185,98,92,0
32,181,62,73,0
13,101,24,42,0
19,55,106,17,0
48,204,192,175,0
77,169,3,13,1
94,70,70,2,0
80,187,51,95,0
218,160,186,171,0
112,116,53,107,0
68,188,160,140,1
16,119,134,151,1
198,156,114,104,0
167,193,75,116,0
65,61,90,19,0
156,226,106,23,0
108,125,86,152,0
32,153,67,68,0
10,94,109,65,0
121,67,61,121,0
147,78,9,60,0
93,169,59,13,0
155,2,16,108,0
197,55,77,18,0
116,198,110,101,1
167,32,75,67,0
116,193,110,116,1
156,32,108,72,0
16,180,137,30,0
31,3,45,69,0
167,213,56,58,1
206,227,26,75,0
16,167,137,56,0
167,180,56,30,1
16,156,137,108,0
192,128,141,175,0
95,217,125,99,0
2,80,109,54,0
61,155,23,14,0
77,147,3,9,0
102,191,8,15,0
122,20,147,34,0
92,220,139,96,0
202,208,51,146,0
112,61,24,28,0
65,155,90,14,1
64,36,189,41,0
134,190,148,26,0
181,32,95,75,0
87,142,79,13,0
49,60,69,61,0
66,108,136,96,0
44,77,27,5,1
69,164,53,29,1
102,155,4,13,0
103,49,39,69,0
165,147,17,8,1
85,42,76,20,0
73,32,83,84,0
227,226,75,37,0
89,18,167,120,0
118,3,97,77,0
181,153,88,64,0
25,103,59,39,1
14,65,102,93,1
85,62,76,86,1
70,212,2,35,0
76,187,54,79,0
169,186,10,25,0
219,44,126,28,0
102,19,4,93,0
115,80,66,34,0
147,9,8,6,0
186,93,25,47,0
212,94,35,56,0
134,6,130,59,0
136,60,12,55,0
219,44,126,28,0
95,17,115,155,0
192,128,142,167,1
25,42,52,21,0
51,102,6,4,0
55,190,17,27,0
80,197,35,51,0
115,2,66,92,0
187,69,73,57,0
82,194,125,160,1
144,129,83,81,0
103,190,39,27,0
170,19,33,89,0
20,162,27,66,1
129,181,74,87,0
104,20,41,27,0
28,147,1,9,0
32,181,77,87,0
104,162,41,66,0
10,212,90,22,0
136,9,13,7,1
138,69,100,57,0
197,102,51,4,0
51,61,6,35,1
44,162,32,66,0
6,190,62,28,0
125,108,133,100,0
134,73,127,71,1
156,150,92,107,0
9,121,8,50,0
161,25,21,53,0
227,61,83,39,0
106,98,131,108,0
121,96,50,112,1
25,104,53,42,1
61,150,39,107,1
156,108,87,100,0
25,61,53,38,1
34,211,134,108,1
66,193,140,117,1
136,61,11,38,0
180,25,40,53,1
171,201,178,123,0
53,169,67,10,0
55,147,17,13,0
93,138,50,100,0
196,13,15,20,0
212,31,25,34,0
25,219,52,110,0
153,78,75,44,0
2,115,95,63,0
120,93,133,50,0
147,20,13,33,0
212,70,25,2,0
76,115,65,63,0
138,207,100,40,0
169,165,10,12,0
226,180,31,36,1
180,190,39,31,0
144,6,84,56,0
37,52,94,81,1
62,90,93,106,1
19,102,100,8,0
77,207,5,35,0
147,28,14,1,0
170,212,19,27,0
216,60,41,60,0
85,161,71,18,0
136,44,11,26,1
92,96,140,100,0
136,60,11,61,1
98,65,94,72,1
213,65,63,72,0
206,226,33,34,0
25,161,57,18,1
208,65,125,72,1
213,98,63,94,0
32,203,73,90,0
147,54,16,2,0
191,28,4,1,0
212,187,28,43,0
116,130,109,120,0
95,17,110,135,1
162,91,45,77,0
126,171,113,159,0
126,171,113,159,0
80,78,34,55,0
80,65,34,73,0
142,181,24,83,0
49,91,64,69,0
32,73,71,74,0
85,10,73,85,1
32,36,71,58,0
181,36,79,58,0
78,36,50,57,0
85,159,73,139,0
206,142,28,25,1
226,32,36,74,1
94,155,44,7,1
226,181,36,79,1
