idteam,team,Population,literacy,birthrate,deathrate
121,Lithuania ,3585906,"99,6","8,75","10,98"
122,Luxembourg ,474413,"100,0","11,94","8,41"
123,Macau ,453125,"94,5","8,48","4,47"
124,Macedonia ,2050554,,"12,02","8,77"
125,Madagascar ,18595469,"68,9","41,41","11,11"
126,Malawi ,13013926,"62,7","43,13","19,33"
127,Malaysia ,24385858,"88,7","22,86","5,05"
128,Maldives ,359008,"97,2","34,81","7,06"
129,Mali ,11716829,"46,4","49,82","16,89"
130,Malta ,400214,"92,8","10,22","8,1"
131,Marshall Islands ,60422,"93,7","33,05","4,78"
132,Martinique ,436131,"97,7","13,74","6,48"
133,Mauritania ,3177388,"41,7","40,99","12,16"
134,Mauritius ,1240827,"85,6","15,43","6,86"
135,Mayotte ,201234,,"40,95","7,7"
136,Mexico ,107449525,"92,2","20,69","4,74"
137,"Micronesia, Fed. St. ",108004,"89,0","24,68","4,75"
138,Moldova ,4466706,"99,1","15,7","12,64"
139,Monaco ,32543,"99,0","9,19","12,91"
140,Mongolia ,2832224,"97,8","21,59","6,95"
141,Montserrat ,9439,"97,0","17,59","7,1"
142,Morocco ,33241259,"51,7","21,98","5,58"
143,Mozambique ,19686505,"47,8","35,18","21,35"
144,Namibia ,2044147,"84,0","24,32","18,86"
145,Nauru ,13287,,"24,76","6,7"
146,Nepal ,28287147,"45,2","30,98","9,31"
147,Netherlands ,16491461,"99,0","10,9","8,68"
148,Netherlands Antilles ,221736,"96,7","14,78","6,45"
149,New Caledonia ,219246,"91,0","18,11","5,69"
150,New Zealand ,4076140,"99,0","13,76","7,53"
151,Nicaragua ,5570129,"67,5","24,51","4,45"
152,Niger ,12525094,"17,6","50,73","20,91"
153,Nigeria ,131859731,"68,0","40,43","16,94"
154,N. Mariana Islands ,82459,"97,0","19,43","2,29"
155,Norway ,4610820,"100,0","11,46","9,4"
156,Oman ,3102229,"75,8","36,24","3,81"
157,Pakistan ,165803560,"45,7","29,74","8,23"
158,Palau ,20579,"92,0","18,03","6,8"
159,Panama ,3191319,"92,6","21,74","5,36"
160,Papua New Guinea ,5670544,"64,6","29,36","7,25"
161,Paraguay ,6506464,"94,0","29,1","4,49"
162,Peru ,28302603,"90,9","20,48","6,23"
163,Philippines ,89468677,"92,6","24,89","5,41"
164,Poland ,38536869,"99,8","9,85","9,89"
165,Portugal ,10605870,"93,3","10,72","10,5"
166,Puerto Rico ,3927188,"94,1","12,77","7,65"
167,Qatar ,885359,"82,5","15,56","4,72"
168,Reunion ,787584,"88,9","18,9","5,49"
169,Romania ,22303552,"98,4","10,7","11,77"
170,Russia ,142893540,"99,6","9,95","14,65"
171,Rwanda ,8648248,"70,4","40,37","16,09"
172,Saint Helena ,7502,"97,0","12,13","6,53"
173,Saint Kitts & Nevis ,39129,"97,0","18,02","8,33"
174,Saint Lucia ,168458,"67,0","19,68","5,08"
175,St Pierre & Miquelon ,7026,"99,0","13,52","6,83"
176,Saint Vincent and the Grenadines ,117848,"96,0","16,18","5,98"
177,Samoa ,176908,"99,7","16,43","6,62"
178,San Marino ,29251,"96,0","10,02","8,17"
179,Sao Tome & Principe ,193413,"79,3","40,25","6,47"
180,Saudi Arabia ,27019731,"78,8","29,34","2,58"
181,Senegal ,11987121,"40,2","32,78","9,42"
182,Serbia ,9396411,"93,0",,
183,Seychelles ,81541,"58,0","16,03","6,29"
184,Sierra Leone ,6005250,"31,4","45,76","23,03"
185,Singapore ,4492150,"92,5","9,34","4,28"
186,Slovakia ,5439448,,"10,65","9,45"
187,Slovenia ,2010347,"99,7","8,98","10,31"
188,Solomon Islands ,552438,,"30,01","3,92"
189,Somalia ,8863338,"37,8","45,13","16,63"
190,South Africa ,44187637,"86,4","18,2",22
191,Spain ,40397842,"97,9","10,06","9,72"
192,Sri Lanka ,20222240,"92,3","15,51","6,52"
193,Sudan ,41236378,"61,1","34,53","8,97"
194,Suriname ,439117,"93,0","18,02","7,27"
195,Swaziland ,1136334,"81,6","27,41","29,74"
196,Sweden ,9016596,"99,0","10,27","10,31"
197,Switzerland ,7523934,"99,0","9,71","8,49"
198,Syria ,18881361,"76,9","27,76","4,81"
199,Taiwan ,23036087,"96,1","12,56","6,48"
200,Tajikistan ,7320815,"99,4","32,65","8,25"
201,Tanzania ,37445392,"78,2","37,71","16,39"
202,Thailand ,64631595,"92,6","13,87","7,04"
203,Togo ,5548702,"60,9","37,01","9,83"
204,Tonga ,114689,"98,5","25,37","5,28"
205,Trinidad & Tobago ,1065842,"98,6","12,9","10,57"
206,Tunisia ,10175014,"74,2","15,52","5,13"
207,Turkey ,70413958,"86,5","16,62","5,97"
208,Turkmenistan ,5042920,"98,0","27,61","8,6"
209,Turks & Caicos Is ,21152,"98,0","21,84","4,21"
210,Tuvalu ,11810,,"22,18","7,11"
211,Uganda ,28195754,"69,9","47,35","12,24"
212,Ukraine ,46710816,"99,7","8,82","14,39"
213,United Arab Emirates ,2602713,"77,9","18,96","4,4"
214,United Kingdom ,60609153,"99,0","10,71","10,13"
215,United States ,298444215,"97,0","14,14","8,26"
216,Uruguay ,3431932,"98,0","13,91","9,05"
217,Uzbekistan ,27307134,"99,3","26,36","7,84"
218,Vanuatu ,208869,"53,0","22,72","7,82"
219,Venezuela ,25730435,"93,4","18,71","4,92"
220,Vietnam ,84402966,"90,3","16,86","6,22"
221,Virgin Islands ,108605,,"13,96","6,43"
222,Wallis and Futuna ,16025,"50,0",,
223,West Bank ,2460492,,"31,67","3,92"
224,Western Sahara ,273008,,,
225,Yemen ,21456188,"50,2","42,89","8,3"
226,Zambia ,11502010,"80,6",41,"19,93"
227,Zimbabwe ,12236805,"90,7","28,01","21,84"
